SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"75100-1",4504369,1,"White","System",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/2/4504369.jpg",378
"75100-1",4615649,2,"White","System",92411,"Angle Plate 1X2 / 2X2","http://cache.lego.com/media/bricks/5/2/4615649.jpg",127
"75100-1",6018774,4,"White","System",99781,"Angular Plate 1,5 Top 1X2 1/2","http://cache.lego.com/media/bricks/5/2/6018774.jpg",74
"75100-1",6040333,1,"White","System",64567,"Light Sword Shaft","http://cache.lego.com/media/bricks/5/2/6040333.jpg",18
"75100-1",6076778,3,"White","System (Figure Part)",74664,"Mini Figure Skirt","http://cache.lego.com/media/bricks/4/2/6076778.jpg",5
"75100-1",6124040,3,"White","System (Figure Part)",23295,"Mini Figure Helmet No. 78 'Dec No 1'","http://cache.lego.com/media/bricks/5/2/6124040.jpg",3
"75100-1",6124044,3,"White","System (Figure Part)",76382,"Mini Upper Part No 3141","http://cache.lego.com/media/bricks/5/2/6124044.jpg",3
"75100-1",6124051,3,"White","System (Figure Part)",23297,"Mini Lower Part 'No. 929'","http://cache.lego.com/media/bricks/5/2/6124051.jpg",3
"75100-1",6124182,3,"White","System (Printed Part)",23403,"Flat Tile 1X1, 'No.152'","http://cache.lego.com/media/bricks/5/2/6124182.jpg",4
"75100-1",4208160,1,"White","Technic",32523,"Technic 3M Beam","http://cache.lego.com/media/bricks/5/2/4208160.jpg",58




